dataset,base_lr,model_channels,epoch,ckpt_path,fid
TIGHT_PROCESSED,2e-5,192,1200,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01200.pt,238.5731
TIGHT_PROCESSED,2e-5,192,1300,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01300.pt,168.3262
TIGHT_PROCESSED,2e-5,192,1400,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01400.pt,164.055
TIGHT_PROCESSED,2e-5,192,1500,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01500.pt,166.1145
TIGHT_PROCESSED,1e-5,192,100,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00100.pt,264.4167
TIGHT_PROCESSED,1e-5,192,200,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00200.pt,325.3202
TIGHT_PROCESSED,1e-5,192,300,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00300.pt,249.6513
TIGHT_PROCESSED,1e-5,192,400,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00400.pt,223.8513
TIGHT_PROCESSED,1e-5,192,500,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00500.pt,226.8876
TIGHT_PROCESSED,1e-5,192,600,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00600.pt,207.1769
TIGHT_PROCESSED,1e-5,192,700,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00700.pt,207.5194
TIGHT_PROCESSED,1e-5,192,800,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00800.pt,201.9495
TIGHT_PROCESSED,1e-5,192,900,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_00900.pt,192.2244
TIGHT_PROCESSED,1e-5,192,1000,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01000.pt,183.6579
TIGHT_PROCESSED,1e-5,192,1100,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01100.pt,197.4059
TIGHT_PROCESSED,1e-5,192,1200,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01200.pt,174.1897
TIGHT_PROCESSED,1e-5,192,1300,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01300.pt,170.9591
TIGHT_PROCESSED,1e-5,192,1400,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01400.pt,195.2199
TIGHT_PROCESSED,1e-5,192,1500,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260510-tight_processed_lr1e-5_ch192_ep1500/checkpoints/epoch_01500.pt,184.1694
